21,18,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,0,0,w,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,0,p,0,0,0,0,0,0,0,b,0,0,0,0,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,1
1,1,1,1,1,1,1,1,14,14,14,14,14,14,14,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,12,0,0,g,0,0,13,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,18,18,18,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,20,20,20,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,20,20,20,1,1,1,1,1,1,1,1
