25,18,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,10,0,0,0,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,w,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,5,0,0,0,0,0,0,0,0,0,11,1,1,1,1,1,1,1,1,1,1,1,1
1,1,32,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,0,0,0,0,0,11,4,1
1,0,0,p,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,11,1
1,12,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,1
1,1,1,14,14,14,1,1,3,12,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1
1,1,1,0,0,0,1,1,1,3,12,0,0,0,0,0,0,0,0,1,1,0,b,0,1
1,1,1,0,0,0,1,1,1,1,3,12,t,0,0,0,0,0,0,1,1,12,0,13,1
1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1
1,1,1,0,g,0,1,1,1,1,1,1,1,1,1,1,28,28,28,1,1,1,1,1,1
1,1,1,18,18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
