22,25,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1
1,14,14,14,1,1,1,1,1,1,1,1,22,1,7,0,0,0,0,0,0,1
1,0,0,0,4,1,1,1,10,0,0,0,21,0,0,0,0,0,0,0,0,1
1,0,0,0,24,1,1,1,0,0,0,0,21,0,0,0,0,0,0,0,0,1
1,0,0,0,2,1,1,1,0,0,0,0,21,0,0,0,0,0,0,0,20,1
1,0,0,0,4,1,1,5,0,0,0,0,21,0,0,0,0,9,1,1,22,1
1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21,1
1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21,1
1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21,1
1,18,18,18,1,1,1,1,1,1,1,1,1,1,1,1,7,0,0,0,21,1
1,18,18,18,1,1,1,1,1,1,1,1,1,1,1,1,23,0,0,13,2,1
1,18,18,18,1,1,1,1,1,1,1,1,1,1,1,1,3,0,13,2,1,1
1,18,18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1
1,18,18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1
1,18,18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1
1,18,18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1
1,18,18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1
