20,22,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,18,18,18,1,1,1,1,1,1,1,1,1,7,0,0,0,1,1
1,1,20,20,20,1,1,1,10,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,1,1,1,0,0,0,22,0,0,0,0,0,13,1,1
1,1,1,1,1,1,1,1,0,0,2,24,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,1,24,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,1,24,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,4,24,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,23,0,0,0,0,0,11,1,1
1,1,1,1,1,1,1,1,12,0,0,23,0,22,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,24,3,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,24,5,0,0,0,1,1
1,1,1,1,1,1,1,5,10,0,0,0,0,23,0,0,0,0,1,1
1,1,1,10,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,1
1,1,1,0,0,w,0,p,0,0,0,0,0,23,0,0,0,0,1,1
1,1,1,12,0,0,0,0,0,0,0,0,0,23,0,b,0,13,1,1
1,1,1,1,1,1,1,1,1,14,14,14,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,28,28,28,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
